subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,linked_timepoint,year,month,day_of_month,hour_of_day,timestamp,ignore_horizon_day
1,1,20300071,203001,1,11.7741935484,,0,,2030,1,3,23,1/3/30 22:00,
1,1,20300072,203001,1,11.7741935484,,0,,2030,1,3,24,1/3/30 23:00,
1,1,20300073,203001,1,11.7741935484,,0,,2030,1,4,1,1/4/30 0:00,
1,1,20300074,203001,1,11.7741935484,,0,,2030,1,4,2,1/4/30 1:00,
1,1,20300075,203001,1,11.7741935484,,0,,2030,1,4,3,1/4/30 2:00,
1,1,20300076,203001,1,11.7741935484,,0,,2030,1,4,4,1/4/30 3:00,
1,1,20300077,203001,1,11.7741935484,,0,,2030,1,4,5,1/4/30 4:00,
1,1,20300078,203001,1,11.7741935484,,0,,2030,1,4,6,1/4/30 5:00,
1,1,20300079,203001,1,11.7741935484,,0,,2030,1,4,7,1/4/30 6:00,
1,1,20300080,203001,1,11.7741935484,,0,,2030,1,4,8,1/4/30 7:00,
1,1,20300081,203001,1,11.7741935484,,0,,2030,1,4,9,1/4/30 8:00,
1,1,20300082,203001,1,11.7741935484,,0,,2030,1,4,10,1/4/30 9:00,
1,1,20300083,203001,1,11.7741935484,,0,,2030,1,4,11,1/4/30 10:00,
1,1,20300084,203001,1,11.7741935484,,0,,2030,1,4,12,1/4/30 11:00,
1,1,20300085,203001,1,11.7741935484,,0,,2030,1,4,13,1/4/30 12:00,
1,1,20300086,203001,1,11.7741935484,,0,,2030,1,4,14,1/4/30 13:00,
1,1,20300087,203001,1,11.7741935484,,0,,2030,1,4,15,1/4/30 14:00,
1,1,20300088,203001,1,11.7741935484,,0,,2030,1,4,16,1/4/30 15:00,
1,1,20300089,203001,1,11.7741935484,,0,,2030,1,4,17,1/4/30 16:00,
1,1,20300090,203001,1,11.7741935484,,0,,2030,1,4,18,1/4/30 17:00,
1,1,20300091,203001,1,11.7741935484,,0,,2030,1,4,19,1/4/30 18:00,
1,1,20300092,203001,1,11.7741935484,,0,,2030,1,4,20,1/4/30 19:00,
1,1,20300093,203001,1,11.7741935484,,0,,2030,1,4,21,1/4/30 20:00,
1,1,20300094,203001,1,11.7741935484,,0,,2030,1,4,22,1/4/30 21:00,
1,1,20300095,203001,1,11.7741935484,,0,,2030,1,4,23,1/4/30 22:00,
1,1,20300096,203001,1,11.7741935484,,0,,2030,1,4,24,1/4/30 23:00,
1,1,20300097,203001,1,11.7741935484,,0,,2030,1,5,1,1/5/30 0:00,
1,1,20300098,203001,1,11.7741935484,,0,,2030,1,5,2,1/5/30 1:00,
1,1,20300099,203001,1,11.7741935484,,0,,2030,1,5,3,1/5/30 2:00,
1,1,20300100,203001,1,11.7741935484,,0,,2030,1,5,4,1/5/30 3:00,
1,1,20300101,203001,1,11.7741935484,,0,,2030,1,5,5,1/5/30 4:00,
1,1,20300102,203001,1,11.7741935484,,0,,2030,1,5,6,1/5/30 5:00,
1,1,20300103,203001,1,11.7741935484,,0,,2030,1,5,7,1/5/30 6:00,
1,1,20300104,203001,1,11.7741935484,,0,,2030,1,5,8,1/5/30 7:00,
1,1,20300105,203001,1,11.7741935484,,0,,2030,1,5,9,1/5/30 8:00,
1,1,20300106,203001,1,11.7741935484,,0,,2030,1,5,10,1/5/30 9:00,
1,1,20300107,203001,1,11.7741935484,,0,,2030,1,5,11,1/5/30 10:00,
1,1,20300108,203001,1,11.7741935484,,0,,2030,1,5,12,1/5/30 11:00,
1,1,20300109,203001,1,11.7741935484,,0,,2030,1,5,13,1/5/30 12:00,
1,1,20300110,203001,1,11.7741935484,,0,,2030,1,5,14,1/5/30 13:00,
1,1,20300111,203001,1,11.7741935484,,0,,2030,1,5,15,1/5/30 14:00,
1,1,20300112,203001,1,11.7741935484,,0,,2030,1,5,16,1/5/30 15:00,
1,1,20300113,203001,1,11.7741935484,,0,,2030,1,5,17,1/5/30 16:00,
1,1,20300114,203001,1,11.7741935484,,0,,2030,1,5,18,1/5/30 17:00,
1,1,20300115,203001,1,11.7741935484,,0,,2030,1,5,19,1/5/30 18:00,
1,1,20300116,203001,1,11.7741935484,,0,,2030,1,5,20,1/5/30 19:00,
1,1,20300117,203001,1,11.7741935484,,0,,2030,1,5,21,1/5/30 20:00,
1,1,20300118,203001,1,11.7741935484,,0,,2030,1,5,22,1/5/30 21:00,
1,1,20300119,203001,1,11.7741935484,,0,,2030,1,5,23,1/5/30 22:00,
1,1,20300120,203001,1,11.7741935484,,0,,2030,1,5,24,1/5/30 23:00,
1,1,20300121,203001,1,11.7741935484,,0,,2030,1,6,1,1/6/30 0:00,
1,1,20300122,203001,1,11.7741935484,,0,,2030,1,6,2,1/6/30 1:00,
1,1,20300123,203001,1,11.7741935484,,0,,2030,1,6,3,1/6/30 2:00,
1,1,20300124,203001,1,11.7741935484,,0,,2030,1,6,4,1/6/30 3:00,
1,1,20300125,203001,1,11.7741935484,,0,,2030,1,6,5,1/6/30 4:00,
1,1,20300126,203001,1,11.7741935484,,0,,2030,1,6,6,1/6/30 5:00,
1,1,20300127,203001,1,11.7741935484,,0,,2030,1,6,7,1/6/30 6:00,
1,1,20300128,203001,1,11.7741935484,,0,,2030,1,6,8,1/6/30 7:00,
1,1,20300129,203001,1,11.7741935484,,0,,2030,1,6,9,1/6/30 8:00,
1,1,20300130,203001,1,11.7741935484,,0,,2030,1,6,10,1/6/30 9:00,
1,1,20300131,203001,1,11.7741935484,,0,,2030,1,6,11,1/6/30 10:00,
1,1,20300132,203001,1,11.7741935484,,0,,2030,1,6,12,1/6/30 11:00,
1,1,20300133,203001,1,11.7741935484,,0,,2030,1,6,13,1/6/30 12:00,
1,1,20300134,203001,1,11.7741935484,,0,,2030,1,6,14,1/6/30 13:00,
1,1,20300135,203001,1,11.7741935484,,0,,2030,1,6,15,1/6/30 14:00,
1,1,20300136,203001,1,11.7741935484,,0,,2030,1,6,16,1/6/30 15:00,
1,1,20300137,203001,1,11.7741935484,,0,,2030,1,6,17,1/6/30 16:00,
1,1,20300138,203001,1,11.7741935484,,0,,2030,1,6,18,1/6/30 17:00,
1,1,20300139,203001,1,11.7741935484,,0,,2030,1,6,19,1/6/30 18:00,
1,1,20300140,203001,1,11.7741935484,,0,,2030,1,6,20,1/6/30 19:00,
