stage_id,balancing_type_horizon,horizon,tmp_start,tmp_start_spinup_or_lookahead,tmp_end,tmp_end_spinup_or_lookahead
1,day,2030113,20302689,0,20302712,0
1,day,2030114,20302713,0,20302736,0
1,day,2030115,20302737,0,20302760,0
1,day,2030116,20302761,0,20302784,0
1,day,2030117,20302785,0,20302808,0
1,day,2030118,20302809,0,20302832,0
1,day,2030119,20302833,0,20302856,0
1,day,2030120,20302857,0,20302880,0
1,day,2030121,20302881,0,20302904,0
1,day,2030122,20302905,0,20302928,0
1,day,2030123,20302929,0,20302952,0
1,day,2030124,20302953,0,20302976,0
1,day,2030125,20302977,0,20303000,0
1,day,2030126,20303001,0,20303024,0
1,day,2030127,20303025,0,20303048,0
1,day,2030128,20303049,0,20303072,0
1,day,2030129,20303073,0,20303096,0
1,day,2030130,20303097,0,20303120,0
1,day,2030131,20303121,0,20303144,0
1,day,2030132,20303145,0,20303168,0
1,day,2030133,20303169,0,20303192,0
1,day,2030134,20303193,0,20303216,0
1,day,2030135,20303217,0,20303240,0
1,day,2030136,20303241,0,20303264,0
1,day,2030137,20303265,0,20303288,0
1,day,2030138,20303289,0,20303312,0
1,day,2030139,20303313,0,20303336,0
1,day,2030140,20303337,0,20303360,0
1,day,2030141,20303361,0,20303384,0
1,day,2030142,20303385,0,20303408,0
1,day,2030143,20303409,0,20303432,0
1,day,2030144,20303433,0,20303456,0
1,day,2030145,20303457,0,20303480,0
1,day,2030146,20303481,0,20303504,0
1,day,2030147,20303505,0,20303528,0
1,day,2030148,20303529,0,20303552,0
1,day,2030149,20303553,0,20303576,0
1,day,2030150,20303577,0,20303600,0
1,day,2030151,20303601,0,20303624,0
1,day,2030152,20303625,0,20303648,0
1,day,2030153,20303649,0,20303672,0
1,day,2030154,20303673,0,20303696,0
1,day,2030155,20303697,0,20303720,0
1,day,2030156,20303721,0,20303744,0
1,day,2030157,20303745,0,20303768,0
1,day,2030158,20303769,0,20303792,0
1,day,2030159,20303793,0,20303816,0
1,day,2030160,20303817,0,20303840,0
1,day,2030161,20303841,0,20303864,0
1,day,2030162,20303865,0,20303888,0
1,day,2030163,20303889,0,20303912,0
1,day,2030164,20303913,0,20303936,0
1,day,2030165,20303937,0,20303960,0
1,day,2030166,20303961,0,20303984,0
1,day,2030167,20303985,0,20304008,0
1,day,2030168,20304009,0,20304032,0
1,day,2030169,20304033,0,20304056,0
1,day,2030170,20304057,0,20304080,0
1,day,2030171,20304081,0,20304104,0
1,day,2030172,20304105,0,20304128,0
1,day,2030173,20304129,0,20304152,0
1,day,2030174,20304153,0,20304176,0
1,day,2030175,20304177,0,20304200,0
1,day,2030176,20304201,0,20304224,0
1,day,2030177,20304225,0,20304248,0
1,day,2030178,20304249,0,20304272,0
1,day,2030179,20304273,0,20304296,0
1,day,2030180,20304297,0,20304320,0
1,day,2030181,20304321,0,20304344,0
1,day,2030182,20304345,0,20304368,0
1,day,2030183,20304369,0,20304392,0
1,day,2030184,20304393,0,20304416,0
1,day,2030185,20304417,0,20304440,0
1,day,2030186,20304441,0,20304464,0
1,day,2030187,20304465,0,20304488,0
1,day,2030188,20304489,0,20304512,0
1,day,2030189,20304513,0,20304536,0
1,day,2030190,20304537,0,20304560,0
1,day,2030191,20304561,0,20304584,0
1,day,2030192,20304585,0,20304608,0
1,day,2030193,20304609,0,20304632,0
1,day,2030194,20304633,0,20304656,0
1,day,2030195,20304657,0,20304680,0
1,day,2030196,20304681,0,20304704,0
1,day,2030197,20304705,0,20304728,0
1,day,2030198,20304729,0,20304752,0
1,day,2030199,20304753,0,20304776,0
1,day,2030200,20304777,0,20304800,0
1,day,2030201,20304801,0,20304824,0
1,day,2030202,20304825,0,20304848,0
1,day,2030203,20304849,0,20304872,0
1,day,2030204,20304873,0,20304896,0
1,day,2030205,20304897,0,20304920,0
1,day,2030206,20304921,0,20304944,0
1,day,2030207,20304945,0,20304968,0
1,day,2030208,20304969,0,20304992,0
1,day,2030209,20304993,0,20305016,0
1,day,2030210,20305017,0,20305040,0
1,day,2030211,20305041,0,20305064,0
1,day,2030212,20305065,0,20305088,0
1,day,2030213,20305089,0,20305112,0
1,day,2030214,20305113,0,20305136,0
1,day,2030215,20305137,0,20305160,0
1,day,2030216,20305161,0,20305184,0
1,day,2030217,20305185,0,20305208,0
1,day,2030218,20305209,0,20305232,0
1,day,2030219,20305233,0,20305256,0
1,day,2030220,20305257,0,20305280,0
1,day,2030221,20305281,0,20305304,0
1,day,2030222,20305305,0,20305328,0
1,day,2030223,20305329,0,20305352,0
1,day,2030224,20305353,0,20305376,0
1,day,2030225,20305377,0,20305400,0
1,day,2030226,20305401,0,20305424,0
1,day,2030227,20305425,0,20305448,0
1,day,2030228,20305449,0,20305472,0
1,day,2030229,20305473,0,20305496,0
1,day,2030230,20305497,0,20305520,0
1,day,2030231,20305521,0,20305544,0
1,day,2030232,20305545,0,20305568,0
1,day,2030233,20305569,0,20305592,0
1,day,2030234,20305593,0,20305616,0
1,day,2030235,20305617,0,20305640,0
1,day,2030236,20305641,0,20305664,0
1,day,2030237,20305665,0,20305688,0
1,day,2030238,20305689,0,20305712,0
1,day,2030239,20305713,0,20305736,0
1,day,2030240,20305737,0,20305760,0
1,day,2030241,20305761,0,20305784,0
1,day,2030242,20305785,0,20305808,0
1,day,2030243,20305809,0,20305832,0
1,day,2030244,20305833,0,20305856,0
1,day,2030245,20305857,0,20305880,0
1,day,2030246,20305881,0,20305904,0
1,day,2030247,20305905,0,20305928,0
1,day,2030248,20305929,0,20305952,0
1,day,2030249,20305953,0,20305976,0
1,day,2030250,20305977,0,20306000,0
1,day,2030251,20306001,0,20306024,0
1,day,2030252,20306025,0,20306048,0
1,day,2030253,20306049,0,20306072,0
1,day,2030254,20306073,0,20306096,0
1,day,2030255,20306097,0,20306120,0
1,day,2030256,20306121,0,20306144,0
1,day,2030257,20306145,0,20306168,0
1,day,2030258,20306169,0,20306192,0
1,day,2030259,20306193,0,20306216,0
1,day,2030260,20306217,0,20306240,0
1,day,2030261,20306241,0,20306264,0
1,day,2030262,20306265,0,20306288,0
1,day,2030263,20306289,0,20306312,0
1,day,2030264,20306313,0,20306336,0
1,day,2030265,20306337,0,20306360,0
1,day,2030266,20306361,0,20306384,0
1,day,2030267,20306385,0,20306408,0
1,day,2030268,20306409,0,20306432,0
1,day,2030269,20306433,0,20306456,0
1,day,2030270,20306457,0,20306480,0
1,day,2030271,20306481,0,20306504,0
1,day,2030272,20306505,0,20306528,0
1,day,2030273,20306529,0,20306552,0
1,day,2030274,20306553,0,20306576,0
1,day,2030275,20306577,0,20306600,0
1,day,2030276,20306601,0,20306624,0
1,day,2030277,20306625,0,20306648,0
1,day,2030278,20306649,0,20306672,0
1,day,2030279,20306673,0,20306696,0
1,day,2030280,20306697,0,20306720,0
1,day,2030281,20306721,0,20306744,0
1,day,2030282,20306745,0,20306768,0
1,day,2030283,20306769,0,20306792,0
1,day,2030284,20306793,0,20306816,0
1,day,2030285,20306817,0,20306840,0
1,day,2030286,20306841,0,20306864,0
1,day,2030287,20306865,0,20306888,0
1,day,2030288,20306889,0,20306912,0
1,day,2030289,20306913,0,20306936,0
1,day,2030290,20306937,0,20306960,0
1,day,2030291,20306961,0,20306984,0
1,day,2030292,20306985,0,20307008,0
1,day,2030293,20307009,0,20307032,0
1,day,2030294,20307033,0,20307056,0
1,day,2030295,20307057,0,20307080,0
1,day,2030296,20307081,0,20307104,0
